GUID;complete;media_language;srt_language;last_changed_on_amara;revision;url;touched;amara_key;amara_language
T1NjW3fn1odK53hiQSAFKw;False;eng;en;1-01-01T00:00:00Z;6;https://mirror.selfnet.de/c3subtitles/congress/30C3/30c3-5376-en-Do_You_Think_That_s_Funny_.en.srt;2018-02-02T20:02:35Z;pZMiDSNMlhYq;en
10f3b750-aaca-4819-85e4-0a0ef4c7cccd;False;orig;orig;1-01-01T00:00:00Z;2;https://mirror.selfnet.de/c3subtitles/congress/36c3/36c3-10524-eng-deu-fra-Lightning_Talks_Day_2.orig.srt;2020-02-24T09:44:28Z;lkucO5z8DKK4;tlh
iU5CnqxotZz_KK2P-uVMsQ;False;eng;en;1-01-01T00:00:00Z;2;https://mirror.selfnet.de/c3subtitles/congress/31C3/31c3-6253-en-de-Computer_Science_in_the_DPRK.en.srt;2018-02-22T13:06:32Z;EJp33mIbk4mb;en
2912b643-f5a8-4bbd-8b24-74983bc55754;False;ell;el;1-01-01T00:00:00Z;2;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9529-eng-deu-Artistic_PCB_Design_and_Fabrication.el.srt;2018-12-30T14:31:54Z;iMqqnDAqZO9x;el
f068c5df-f969-4206-befb-540326e3d053;True;spa;es;1-01-01T00:00:00Z;2;https://mirror.selfnet.de/c3subtitles/congress/34c3/34c3-8832-eng-deu-Free_Electron_Lasers.es.srt;2018-07-19T22:21:04Z;DQAyeKY9OfaD;es
ff31429a-f7bd-5c10-a816-6c5bfb1295e2;False;eng;en;1-01-01T00:00:00Z;2;https://mirror.selfnet.de/c3subtitles/congress/35C3-wikipakawg/35c3-wikipakawg-31-eng-How_To_Become_a_Media_Wiki_Hacker.en.srt;2019-01-12T23:41:29Z;NEEItMlEKEWv;en
glr14-wGaYxsV63N4TJZDQ;False;deu;de;2014-01-05T17:30:26Z;2;https://mirror.selfnet.de/c3subtitles/congress/30C3/30c3-5532-de-en-Die_Drohnenkriege.de.srt;2018-01-30T19:50:07Z;rSRyxS0R3ltH;de
OJWon_ecrah6bXHuBY__Vw;False;eng;en;2014-01-07T18:48:11Z;2;https://mirror.selfnet.de/c3subtitles/congress/30C3/30c3-5445-en-Virtually_Impossible_The_Reality_Of_Virtualization_Security.en.srt;2018-01-30T19:51:49Z;QnlKic8UEoAx;en
3HEv_YYlkY2P_y1pKfU7fA;False;eng;en;2014-01-18T12:40:56Z;9;https://mirror.selfnet.de/c3subtitles/congress/30C3/30c3-5604-en-de-Seeing_The_Secret_State_Six_Landscapes.en.srt;2018-01-30T19:54:24Z;DvMKST6ncdkf;en
0OMMJkoMY79GCUUx9LULgA;False;fra;fr;2014-05-21T11:06:20Z;10;https://mirror.selfnet.de/c3subtitles/congress/30C3/30c3-5610-de-Seidenstrasse.fr.srt;2019-09-10T13:48:49Z;7Ert3cbCTB1V;fr
3poSeUcpc6woNaI5dhATcQ;False;eng;en;2014-06-05T00:01:00Z;6;https://mirror.selfnet.de/c3subtitles/congress/30C3/30c3-5210-de-en-Bullshit_made_in_Germany.en.srt;2018-01-30T19:53:23Z;y1Gk3maFbvNQ;en
0wIAXwCTvHhMFKucqslNxg;False;deu;de;2014-12-17T10:37:08Z;8;https://mirror.selfnet.de/c3subtitles/congress/30C3/30c3-5413-de-en-Security_Nightmares.de.srt;2018-01-30T19:55:25Z;tcnyb7cNwcfY;de
HOqeNIb6G7M4hYFKFRkCmQ;False;eng;en;2015-01-11T00:17:03Z;2;https://mirror.selfnet.de/c3subtitles/congress/31C3/31c3-6264-de-en-Wir_beteiligen_uns_aktiv_an_den_Diskussionen.en.srt;2018-01-30T19:54:02Z;TgEtUA6I5pJj;en
xmlu4jFXkob2t8CUHi0Rng;False;eng;en;2015-11-01T10:50:34Z;2;https://mirror.selfnet.de/c3subtitles/congress/31C3/31c3-6294-de-en-Vor_Windows_8_wird_gewarnt.en.srt;2018-01-30T19:55:14Z;aIY5TMyf7po1;en
a-xJCEtToBTndlcjWvCAKQ;False;eng;en;2015-12-06T22:35:57Z;2;https://mirror.selfnet.de/c3subtitles/congress/30C3/30c3-5491-en-de-No_Neutral_Ground_in_a_Burning_World.en.srt;2018-01-30T19:55:24Z;2kGOoOdz2i5w;en
Mw1wjnNzwxzSkM3Ip5Lg0g;False;deu;de;2016-01-05T14:21:52Z;32;https://mirror.selfnet.de/c3subtitles/congress/31C3/31c3-6109-de-en-Fnord_News_Show.de.srt;2018-01-30T19:50:18Z;34CYFp9jzVZ5;de
3a1241e9-1e0b-4539-a44c-7d04257ae16d;False;orig;orig;2016-01-06T04:05:27Z;2;https://mirror.selfnet.de/c3subtitles/congress/32C3/32c3-7559-en-de-Lightning_Talks_Day_3.orig.srt;2018-01-30T19:56:57Z;hZ816TVlHvtg;tlh
62a79191-ca6a-48ea-b747-8cf13faa75cb;False;eng;en;2016-01-06T09:21:55Z;2;https://mirror.selfnet.de/c3subtitles/congress/32C3/32c3-7561-en-de-How_Open_Source_Software_second_hand_laptops_and_hackers_helped_stop_Ebola_and_stopped_an_apocalypse.en.srt;2018-01-30T19:47:06Z;DTmWVfxF16YZ;en
